area_code,area_name,period,value,indicator
E06000004,Stockton-on-Tees,2013,25427,Gross domestic product (GDP) per head at current market prices (£)
E06000004,Stockton-on-Tees,2014,26158,Gross domestic product (GDP) per head at current market prices (£)
E06000004,Stockton-on-Tees,2015,27628,Gross domestic product (GDP) per head at current market prices (£)
E06000004,Stockton-on-Tees,2016,28028,Gross domestic product (GDP) per head at current market prices (£)
E06000004,Stockton-on-Tees,2017,27682,Gross domestic product (GDP) per head at current market prices (£)
E06000004,Stockton-on-Tees,2018,28169,Gross domestic product (GDP) per head at current market prices (£)
E06000004,Stockton-on-Tees,2019,29771,Gross domestic product (GDP) per head at current market prices (£)
E06000004,Stockton-on-Tees,2020,29025,Gross domestic product (GDP) per head at current market prices (£)
E06000004,Stockton-on-Tees,2021,30906,Gross domestic product (GDP) per head at current market prices (£)
E06000004,Stockton-on-Tees,2022,33034,Gross domestic product (GDP) per head at current market prices (£)
E06000004,Stockton-on-Tees,2023,33314,Gross domestic product (GDP) per head at current market prices (£)
E08000009,Trafford,2013,34183,Gross domestic product (GDP) per head at current market prices (£)
E08000009,Trafford,2014,34604,Gross domestic product (GDP) per head at current market prices (£)
E08000009,Trafford,2015,36790,Gross domestic product (GDP) per head at current market prices (£)
E08000009,Trafford,2016,38111,Gross domestic product (GDP) per head at current market prices (£)
E08000009,Trafford,2017,40389,Gross domestic product (GDP) per head at current market prices (£)
E08000009,Trafford,2018,42346,Gross domestic product (GDP) per head at current market prices (£)
E08000009,Trafford,2019,43104,Gross domestic product (GDP) per head at current market prices (£)
E08000009,Trafford,2020,42767,Gross domestic product (GDP) per head at current market prices (£)
E08000009,Trafford,2021,46812,Gross domestic product (GDP) per head at current market prices (£)
E08000009,Trafford,2022,50931,Gross domestic product (GDP) per head at current market prices (£)
E08000009,Trafford,2023,55182,Gross domestic product (GDP) per head at current market prices (£)
E08000007,Stockport,2013,22963,Gross domestic product (GDP) per head at current market prices (£)
E08000007,Stockport,2014,22945,Gross domestic product (GDP) per head at current market prices (£)
E08000007,Stockport,2015,22986,Gross domestic product (GDP) per head at current market prices (£)
E08000007,Stockport,2016,23857,Gross domestic product (GDP) per head at current market prices (£)
E08000007,Stockport,2017,25518,Gross domestic product (GDP) per head at current market prices (£)
E08000007,Stockport,2018,26374,Gross domestic product (GDP) per head at current market prices (£)
E08000007,Stockport,2019,26604,Gross domestic product (GDP) per head at current market prices (£)
E08000007,Stockport,2020,26801,Gross domestic product (GDP) per head at current market prices (£)
E08000007,Stockport,2021,28088,Gross domestic product (GDP) per head at current market prices (£)
E08000007,Stockport,2022,31706,Gross domestic product (GDP) per head at current market prices (£)
E08000007,Stockport,2023,34446,Gross domestic product (GDP) per head at current market prices (£)
E08000002,Bury,2013,18253,Gross domestic product (GDP) per head at current market prices (£)
E08000002,Bury,2014,18107,Gross domestic product (GDP) per head at current market prices (£)
E08000002,Bury,2015,18973,Gross domestic product (GDP) per head at current market prices (£)
E08000002,Bury,2016,19248,Gross domestic product (GDP) per head at current market prices (£)
E08000002,Bury,2017,19595,Gross domestic product (GDP) per head at current market prices (£)
E08000002,Bury,2018,19988,Gross domestic product (GDP) per head at current market prices (£)
E08000002,Bury,2019,21136,Gross domestic product (GDP) per head at current market prices (£)
E08000002,Bury,2020,20666,Gross domestic product (GDP) per head at current market prices (£)
E08000002,Bury,2021,21162,Gross domestic product (GDP) per head at current market prices (£)
E08000002,Bury,2022,22248,Gross domestic product (GDP) per head at current market prices (£)
E08000002,Bury,2023,25102,Gross domestic product (GDP) per head at current market prices (£)
E06000007,Warrington,2013,32514,Gross domestic product (GDP) per head at current market prices (£)
E06000007,Warrington,2014,34094,Gross domestic product (GDP) per head at current market prices (£)
E06000007,Warrington,2015,35637,Gross domestic product (GDP) per head at current market prices (£)
E06000007,Warrington,2016,37208,Gross domestic product (GDP) per head at current market prices (£)
E06000007,Warrington,2017,39748,Gross domestic product (GDP) per head at current market prices (£)
E06000007,Warrington,2018,40103,Gross domestic product (GDP) per head at current market prices (£)
E06000007,Warrington,2019,42773,Gross domestic product (GDP) per head at current market prices (£)
E06000007,Warrington,2020,42285,Gross domestic product (GDP) per head at current market prices (£)
E06000007,Warrington,2021,44725,Gross domestic product (GDP) per head at current market prices (£)
E06000007,Warrington,2022,48938,Gross domestic product (GDP) per head at current market prices (£)
E06000007,Warrington,2023,54025,Gross domestic product (GDP) per head at current market prices (£)
E06000050,Cheshire West and Chester,2013,30072,Gross domestic product (GDP) per head at current market prices (£)
E06000050,Cheshire West and Chester,2014,31390,Gross domestic product (GDP) per head at current market prices (£)
E06000050,Cheshire West and Chester,2015,30560,Gross domestic product (GDP) per head at current market prices (£)
E06000050,Cheshire West and Chester,2016,31742,Gross domestic product (GDP) per head at current market prices (£)
E06000050,Cheshire West and Chester,2017,33826,Gross domestic product (GDP) per head at current market prices (£)
