area_code,area_name,period,indicator,measure,unit,value
E08000009,Trafford,2025/26 Q3,Percentage of all non-major development planning applications decided in time,Percentage,Applications,92
E06000042,Milton Keynes,2023/24 Q4,Percentage of all non-major development planning applications decided in time,Percentage,Applications,95.3
E06000042,Milton Keynes,2024/25 Q1,Percentage of all non-major development planning applications decided in time,Percentage,Applications,96.7
E06000042,Milton Keynes,2024/25 Q2,Percentage of all non-major development planning applications decided in time,Percentage,Applications,99.1
E06000042,Milton Keynes,2024/25 Q3,Percentage of all non-major development planning applications decided in time,Percentage,Applications,71.2
E06000042,Milton Keynes,2024/25 Q4,Percentage of all non-major development planning applications decided in time,Percentage,Applications,97.5
E06000042,Milton Keynes,2025/26 Q1,Percentage of all non-major development planning applications decided in time,Percentage,Applications,97.2
E06000042,Milton Keynes,2025/26 Q2,Percentage of all non-major development planning applications decided in time,Percentage,Applications,98.3
E06000042,Milton Keynes,2025/26 Q3,Percentage of all non-major development planning applications decided in time,Percentage,Applications,71
E06000004,Stockton-on-Tees,2023/24 Q4,Percentage of all non-major development planning applications decided in time,Percentage,Applications,82
E06000004,Stockton-on-Tees,2024/25 Q1,Percentage of all non-major development planning applications decided in time,Percentage,Applications,95
E06000004,Stockton-on-Tees,2024/25 Q2,Percentage of all non-major development planning applications decided in time,Percentage,Applications,94.5
E06000004,Stockton-on-Tees,2024/25 Q3,Percentage of all non-major development planning applications decided in time,Percentage,Applications,92.2
E06000004,Stockton-on-Tees,2024/25 Q4,Percentage of all non-major development planning applications decided in time,Percentage,Applications,96.3
E06000004,Stockton-on-Tees,2025/26 Q1,Percentage of all non-major development planning applications decided in time,Percentage,Applications,93.1
E06000004,Stockton-on-Tees,2025/26 Q2,Percentage of all non-major development planning applications decided in time,Percentage,Applications,87.2
E06000004,Stockton-on-Tees,2025/26 Q3,Percentage of all non-major development planning applications decided in time,Percentage,Applications,94.2
E06000050,Cheshire West and Chester,2023/24 Q4,Percentage of all non-major development planning applications decided in time,Percentage,Applications,89
E06000050,Cheshire West and Chester,2024/25 Q1,Percentage of all non-major development planning applications decided in time,Percentage,Applications,88.9
E06000050,Cheshire West and Chester,2024/25 Q2,Percentage of all non-major development planning applications decided in time,Percentage,Applications,93.2
E06000050,Cheshire West and Chester,2024/25 Q3,Percentage of all non-major development planning applications decided in time,Percentage,Applications,89.9
E06000050,Cheshire West and Chester,2024/25 Q4,Percentage of all non-major development planning applications decided in time,Percentage,Applications,93.8
E06000050,Cheshire West and Chester,2025/26 Q1,Percentage of all non-major development planning applications decided in time,Percentage,Applications,91.9
E06000050,Cheshire West and Chester,2025/26 Q2,Percentage of all non-major development planning applications decided in time,Percentage,Applications,90.2
E06000050,Cheshire West and Chester,2025/26 Q3,Percentage of all non-major development planning applications decided in time,Percentage,Applications,92.8
E06000030,Swindon,2023/24 Q4,Percentage of all non-major development planning applications decided in time,Percentage,Applications,91
E06000030,Swindon,2024/25 Q1,Percentage of all non-major development planning applications decided in time,Percentage,Applications,92.5
E06000030,Swindon,2024/25 Q2,Percentage of all non-major development planning applications decided in time,Percentage,Applications,84.5
E06000030,Swindon,2024/25 Q3,Percentage of all non-major development planning applications decided in time,Percentage,Applications,89.4
E06000030,Swindon,2024/25 Q4,Percentage of all non-major development planning applications decided in time,Percentage,Applications,83.9
E06000030,Swindon,2025/26 Q1,Percentage of all non-major development planning applications decided in time,Percentage,Applications,84.8
E06000030,Swindon,2025/26 Q2,Percentage of all non-major development planning applications decided in time,Percentage,Applications,96.1
E06000030,Swindon,2025/26 Q3,Percentage of all non-major development planning applications decided in time,Percentage,Applications,91.9
E06000015,Derby,2023/24 Q4,Percentage of all non-major development planning applications decided in time,Percentage,Applications,90.2
E06000015,Derby,2024/25 Q1,Percentage of all non-major development planning applications decided in time,Percentage,Applications,92
E06000015,Derby,2024/25 Q2,Percentage of all non-major development planning applications decided in time,Percentage,Applications,91.8
E06000015,Derby,2024/25 Q3,Percentage of all non-major development planning applications decided in time,Percentage,Applications,93.8
E06000015,Derby,2024/25 Q4,Percentage of all non-major development planning applications decided in time,Percentage,Applications,88.3
E06000015,Derby,2025/26 Q1,Percentage of all non-major development planning applications decided in time,Percentage,Applications,86.1
E06000015,Derby,2025/26 Q2,Percentage of all non-major development planning applications decided in time,Percentage,Applications,89.2
E06000015,Derby,2025/26 Q3,Percentage of all non-major development planning applications decided in time,Percentage,Applications,89.6
E06000055,Bedford,2023/24 Q4,Percentage of all non-major development planning applications decided in time,Percentage,Applications,85.5
E06000055,Bedford,2024/25 Q1,Percentage of all non-major development planning applications decided in time,Percentage,Applications,88.5
E06000055,Bedford,2024/25 Q2,Percentage of all non-major development planning applications decided in time,Percentage,Applications,85.3
E06000055,Bedford,2024/25 Q3,Percentage of all non-major development planning applications decided in time,Percentage,Applications,87.5
E06000055,Bedford,2024/25 Q4,Percentage of all non-major development planning applications decided in time,Percentage,Applications,84.7
E06000055,Bedford,2025/26 Q1,Percentage of all non-major development planning applications decided in time,Percentage,Applications,87.1
E06000055,Bedford,2025/26 Q2,Percentage of all non-major development planning applications decided in time,Percentage,Applications,88.9
E06000055,Bedford,2025/26 Q3,Percentage of all non-major development planning applications decided in time,Percentage,Applications,85.6
E06000061,North Northamptonshire,2023/24 Q4,Percentage of all non-major development planning applications decided in time,Percentage,Applications,78.1
E06000061,North Northamptonshire,2024/25 Q1,Percentage of all non-major development planning applications decided in time,Percentage,Applications,80.8
E06000061,North Northamptonshire,2024/25 Q2,Percentage of all non-major development planning applications decided in time,Percentage,Applications,75
E06000061,North Northamptonshire,2024/25 Q3,Percentage of all non-major development planning applications decided in time,Percentage,Applications,96.6
E06000061,North Northamptonshire,2024/25 Q4,Percentage of all non-major development planning applications decided in time,Percentage,Applications,96.9
E06000061,North Northamptonshire,2025/26 Q1,Percentage of all non-major development planning applications decided in time,Percentage,Applications,91.1
E06000061,North Northamptonshire,2025/26 Q2,Percentage of all non-major development planning applications decided in time,Percentage,Applications,78
E06000061,North Northamptonshire,2025/26 Q3,Percentage of all non-major development planning applications decided in time,Percentage,Applications,75.6
E08000029,Solihull,2023/24 Q4,Percentage of all non-major development planning applications decided in time,Percentage,Applications,88.1
E08000029,Solihull,2024/25 Q1,Percentage of all non-major development planning applications decided in time,Percentage,Applications,84.6
E08000029,Solihull,2024/25 Q2,Percentage of all non-major development planning applications decided in time,Percentage,Applications,82.7
