area_code,area_name,period,indicator,measure,unit,value
E06000034,Thurrock,2016/17,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,62.9
E08000009,Trafford,2016/17,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,38.7
E06000007,Warrington,2016/17,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,45.7
E06000014,York,2016/17,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,57.5
E06000055,Bedford,2017/18,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,55.5
E08000002,Bury,2017/18,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,48.3
E06000050,Cheshire West and Chester,2017/18,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,41.7
E06000015,Derby,2017/18,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,63.7
E92000001,England,2017/18,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,56.8
E06000035,Medway,2017/18,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,57.2
E06000042,Milton Keynes,2017/18,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,48.3
E06000031,Peterborough,2017/18,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,56.7
E06000038,Reading,2017/18,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,69.3
E08000029,Solihull,2017/18,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,59.4
E06000025,South Gloucestershire,2017/18,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,48.4
E08000007,Stockport,2017/18,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,42.5
E06000030,Swindon,2017/18,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,60.7
E06000034,Thurrock,2017/18,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,64
E08000009,Trafford,2017/18,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,41.5
E06000007,Warrington,2017/18,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,57.2
E06000014,York,2017/18,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,55.1
E06000055,Bedford,2018/19,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,57.1
E08000002,Bury,2018/19,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,48
E06000050,Cheshire West and Chester,2018/19,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,41
E06000015,Derby,2018/19,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,61.2
E92000001,England,2018/19,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,56.5
E06000035,Medway,2018/19,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,57.2
E06000042,Milton Keynes,2018/19,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,40.9
E06000031,Peterborough,2018/19,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,56.9
E06000038,Reading,2018/19,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,68.1
E08000029,Solihull,2018/19,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,62.2
E06000025,South Gloucestershire,2018/19,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,42.2
E08000007,Stockport,2018/19,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,41.7
E06000030,Swindon,2018/19,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,57.9
E06000034,Thurrock,2018/19,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,65
E08000009,Trafford,2018/19,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,42.7
E06000007,Warrington,2018/19,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,55.8
E06000014,York,2018/19,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,56.4
E06000055,Bedford,2019/20,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,57.3
E08000002,Bury,2019/20,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,48.4
E06000050,Cheshire West and Chester,2019/20,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,43.6
E06000015,Derby,2019/20,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,57.9
E92000001,England,2019/20,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,56.2
E06000035,Medway,2019/20,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,54
E06000042,Milton Keynes,2019/20,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,43.7
E06000031,Peterborough,2019/20,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,56.7
E06000038,Reading,2019/20,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,64.7
E08000029,Solihull,2019/20,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,63.3
E06000025,South Gloucestershire,2019/20,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,40.9
E08000007,Stockport,2019/20,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,41.5
E06000030,Swindon,2019/20,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,57.2
E06000034,Thurrock,2019/20,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,65.2
E08000009,Trafford,2019/20,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,43.1
E06000007,Warrington,2019/20,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,52.5
E06000014,York,2019/20,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,51.6
E06000055,Bedford,2020/21,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,60
E08000002,Bury,2020/21,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,49.5
E06000050,Cheshire West and Chester,2020/21,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,45.5
E06000015,Derby,2020/21,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,63.3
E92000001,England,2020/21,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,57.7
E06000035,Medway,2020/21,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,58.2
E06000042,Milton Keynes,2020/21,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,46.2
E06000031,Peterborough,2020/21,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,59.1
E06000038,Reading,2020/21,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,63.9
E08000029,Solihull,2020/21,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,62.3
E06000025,South Gloucestershire,2020/21,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,41.5
E08000007,Stockport,2020/21,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,45
E06000030,Swindon,2020/21,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,60.4
E06000034,Thurrock,2020/21,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,72
E08000009,Trafford,2020/21,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,46.7
E06000007,Warrington,2020/21,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,55.6
E06000014,York,2020/21,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,55.9
E06000055,Bedford,2021/22,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,63
E08000002,Bury,2021/22,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,46.2
E06000050,Cheshire West and Chester,2021/22,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,42.4
E06000015,Derby,2021/22,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,62.7
E92000001,England,2021/22,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,57.5
E06000035,Medway,2021/22,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,59.5
E06000042,Milton Keynes,2021/22,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,48.1
E06000031,Peterborough,2021/22,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,61.1
E06000038,Reading,2021/22,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,48.5
E08000029,Solihull,2021/22,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,64.8
E06000025,South Gloucestershire,2021/22,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,40.1
E08000007,Stockport,2021/22,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,39.7
E06000030,Swindon,2021/22,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,63.5
E06000034,Thurrock,2021/22,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,71.3
E08000009,Trafford,2021/22,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,41.2
E06000007,Warrington,2021/22,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,57.9
E06000014,York,2021/22,"Household waste not sent for reuse, recycling or composting",Percentage,Waste,56.8
E06000055,Bedford,2014/15,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,38745
E08000002,Bury,2014/15,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,29690
E06000050,Cheshire West and Chester,2014/15,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,48784
E06000015,Derby,2014/15,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,56722
E06000035,Medway,2014/15,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,50983
E06000042,Milton Keynes,2014/15,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,40091
E06000031,Peterborough,2014/15,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,36022
E06000038,Reading,2014/15,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,32719
E08000029,Solihull,2014/15,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,41246
E06000025,South Gloucestershire,2014/15,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,41663
E08000007,Stockport,2014/15,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,32948
E06000030,Swindon,2014/15,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,32578
E06000034,Thurrock,2014/15,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,32858
E08000009,Trafford,2014/15,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,25310
E06000007,Warrington,2014/15,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,36024
E06000014,York,2014/15,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,42624
E06000055,Bedford,2015/16,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,39239
E08000002,Bury,2015/16,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,27700
E06000050,Cheshire West and Chester,2015/16,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,49971
E06000015,Derby,2015/16,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,56526
E06000035,Medway,2015/16,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,54963
E06000042,Milton Keynes,2015/16,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,42331
E06000031,Peterborough,2015/16,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,37542
E06000038,Reading,2015/16,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,32311
E08000029,Solihull,2015/16,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,40758
E06000025,South Gloucestershire,2015/16,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,40717
E08000007,Stockport,2015/16,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,34142
E06000030,Swindon,2015/16,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,52327
E06000034,Thurrock,2015/16,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,38290
E08000009,Trafford,2015/16,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,25933
E06000007,Warrington,2015/16,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,34006
E06000014,York,2015/16,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,40359
E06000055,Bedford,2016/17,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,34771
E08000002,Bury,2016/17,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,25436
E06000050,Cheshire West and Chester,2016/17,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,50949
E06000015,Derby,2016/17,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,54704
E06000035,Medway,2016/17,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,55836
E06000042,Milton Keynes,2016/17,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,41215
E06000031,Peterborough,2016/17,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,38292
E06000038,Reading,2016/17,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,32457
E08000029,Solihull,2016/17,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,41502
E06000025,South Gloucestershire,2016/17,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,42688
E08000007,Stockport,2016/17,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,34932
E06000030,Swindon,2016/17,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,48424
E06000034,Thurrock,2016/17,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,39889
E08000009,Trafford,2016/17,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,25312
E06000007,Warrington,2016/17,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,31891
E06000014,York,2016/17,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,40896
E06000055,Bedford,2017/18,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,30429
E08000002,Bury,2017/18,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,25484
E06000050,Cheshire West and Chester,2017/18,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,48626
E06000015,Derby,2017/18,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,55551
E06000035,Medway,2017/18,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,55184
E06000042,Milton Keynes,2017/18,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,41342
E06000031,Peterborough,2017/18,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,38076
E06000038,Reading,2017/18,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,31235
E08000029,Solihull,2017/18,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,41186
E06000025,South Gloucestershire,2017/18,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,42260
E08000007,Stockport,2017/18,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,35449
E06000030,Swindon,2017/18,"Household waste not sent for reuse, recycling or composting",Frequency,Tonnes,44528
