area_code,area_name,area_type,period,indicator,measure,unit,value,compared_to_England,inequality
E06000025,South Gloucestershire,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,67.4,Better,Female
E06000026,Plymouth,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,59.6,Worse,Female
E06000027,Torbay,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,63.4,Similar,Female
E06000030,Swindon,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,62.8,Similar,Female
E06000031,Peterborough,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,60.4,Worse,Female
E06000032,Luton,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,59.3,Worse,Female
E06000033,Southend-on-Sea,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,63.7,Similar,Female
E06000034,Thurrock,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,64.7,Similar,Female
E06000035,Medway,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,62.1,Similar,Female
E06000036,Bracknell Forest,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,67.8,Better,Female
E06000037,West Berkshire,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,69.8,Better,Female
E06000038,Reading,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,67.5,Better,Female
E06000039,Slough,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,60.5,Worse,Female
E06000040,Windsor and Maidenhead,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,71.2,Better,Female
E06000041,Wokingham,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,71.5,Better,Female
E06000042,Milton Keynes,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,64.5,Similar,Female
E06000043,Brighton and Hove,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,64.6,Similar,Female
E06000044,Portsmouth,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,64.2,Similar,Female
E06000045,Southampton,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,62.4,Similar,Female
E06000046,Isle of Wight,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,63,Similar,Female
E06000047,County Durham,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,59,Worse,Female
E06000049,Cheshire East,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,67.7,Better,Female
E06000050,Cheshire West and Chester,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,65.1,Similar,Female
E06000051,Shropshire,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,65.5,Similar,Female
E06000052,Cornwall,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,63.6,Similar,Female
E06000053,Isles of Scilly,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,NA,Not compared,Female
E06000054,Wiltshire,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,67.9,Better,Female
E06000055,Bedford,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,67.9,Similar,Female
E06000056,Central Bedfordshire,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,66,Similar,Female
E06000057,Northumberland,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,63.7,Similar,Female
E06000058,"Bournemouth, Christchurch and Poole",UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,65.7,Better,Female
E06000059,Dorset,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,66.8,Better,Female
E06000060,Buckinghamshire UA,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,69.7,Better,Female
E06000061,North Northamptonshire,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,65.4,Similar,Female
E06000062,West Northamptonshire,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,63.9,Similar,Female
E06000063,Cumberland,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,62.1,Similar,Female
E06000064,Westmorland and Furness,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,65,Similar,Female
E06000065,North Yorkshire UA,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,66.7,Better,Female
E06000066,Somerset UA,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,67.8,Better,Female
E08000001,Bolton,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,61.2,Worse,Female
E08000002,Bury,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,62.5,Similar,Female
E08000003,Manchester,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,57.8,Worse,Female
E08000004,Oldham,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,59.4,Worse,Female
E08000005,Rochdale,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,59.1,Worse,Female
E08000006,Salford,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,57.9,Worse,Female
E08000007,Stockport,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,66.8,Better,Female
E08000008,Tameside,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,57.7,Worse,Female
E08000009,Trafford,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,65.3,Similar,Female
E08000010,Wigan,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,60.8,Worse,Female
E08000011,Knowsley,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,58,Worse,Female
E08000012,Liverpool,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,58,Worse,Female
E08000013,St. Helens,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,62.1,Similar,Female
E08000014,Sefton,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,63.3,Similar,Female
E08000015,Wirral,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,61.6,Worse,Female
E08000016,Barnsley,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,55.9,Worse,Female
E08000017,Doncaster,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,58.4,Worse,Female
E08000018,Rotherham,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,58.5,Worse,Female
E08000019,Sheffield,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,59.9,Worse,Female
E08000021,Newcastle upon Tyne,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,59.8,Worse,Female
E08000022,North Tyneside,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,60.3,Worse,Female
E08000023,South Tyneside,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,58.8,Worse,Female
E08000024,Sunderland,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,58,Worse,Female
E08000025,Birmingham,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,59.9,Worse,Female
E08000026,Coventry,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,63.1,Similar,Female
E08000027,Dudley,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,62.5,Similar,Female
E08000028,Sandwell,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,58.5,Worse,Female
E08000029,Solihull,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,65.7,Similar,Female
E08000030,Walsall,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,59.8,Worse,Female
E08000031,Wolverhampton,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,58.6,Worse,Female
E08000032,Bradford,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,60.6,Worse,Female
E08000033,Calderdale,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,62.3,Similar,Female
E08000034,Kirklees,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,62.7,Similar,Female
E08000035,Leeds,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,61.4,Worse,Female
E08000036,Wakefield,UA,2011 - 13,Healthy life expectancy at birth,Life expectancy,Years,60.7,Worse,Female
